"Scenario","Type","k","tau2","bias_type","true_mu","Method","Estimate","SE","CI_Lower","CI_Upper","Covered","k_final"
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-1.04491833838312,1.41528738021525,-3.81883063137906,1.72899395461281,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-1.29648613658382,1.42092239131516,-4.08144284838807,1.48847057522042,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-1.29648613658382,1.1903999190452,-3.98935784004633,1.39638556687868,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-1.36533277278522,1.45015214835134,-4.20757875565723,1.47691321008679,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.225901021570977,1.79141675219491,-3.73701333717471,3.28521129403276,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.225901021570977,1.61132013736847,-3.87096041188005,3.4191583687381,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.128888510867218,1.71738994861387,-3.49491095756149,3.23713393582705,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-3.47313314783403,1.56654355039542,-6.54350208682256,-0.402764208845497,FALSE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-3.47313314783403,1.51734339613383,-6.90560237982273,-0.0406639158453275,FALSE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-3.31644209931678,1.49529561281776,-6.24716764668033,-0.385716551953231,FALSE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.734782712618829,1.48540315396869,-2.17655397168202,3.64611939691968,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.734782712618829,0.879272436776671,-1.25426972828655,2.72383515352421,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.882888450519152,1.50856313595098,-2.07384096434957,3.83961786538788,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-2.09147334939201,1.39993031906328,-4.8352863556217,0.652339656837679,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-2.09147334939201,1.37964515981514,-5.2124475297877,1.02950083100368,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-1.87958819565165,1.42534847087445,-4.67321986398481,0.914043472681516,TRUE,10
